Data;Period;Value
Climate-Temperature avg;W45 2019Sun 2019;23.8
Climate-Rainfall;W17 2022Sun 2022;442.0
Climate-Temperature avg;W44 2019Sun 2019;24.7
Climate-Rainfall;W18 2022Sun 2022;714.4
Climate-Temperature avg;W14 2019Sun 2019;26.8
Climate-Rainfall;W5 2019Sun 2019;0.0
Climate-Temperature avg;W13 2019Sun 2019;26.8
Climate-Rainfall;W4 2019Sun 2019;2.0
Climate-Temperature avg;W16 2019Sun 2019;29.6
Climate-Rainfall;W7 2019Sun 2019;119.5
Climate-Temperature avg;W15 2019Sun 2019;28.5
Climate-Rainfall;W6 2019Sun 2019;5.5
Climate-Temperature avg;W18 2019Sun 2019;29.2
Climate-Rainfall;W1 2019Sun 2019;54.3
Climate-Rainfall;W40 2022Sun 2022;562.5
Climate-Temperature avg;W17 2019Sun 2019;29.4
Climate-Rainfall;W41 2022Sun 2022;324.6
Climate-Rainfall;W3 2019Sun 2019;49.2
Climate-Rainfall;W42 2022Sun 2022;45.0
Climate-Temperature avg;W19 2019Sun 2019;28.8
Climate-Rainfall;W2 2019Sun 2019;492.1
Climate-Rainfall;W43 2022Sun 2022;11.0
Climate-Rainfall;W53 2020Sun 2020;0.3
Climate-Rainfall;W50 2020Sun 2020;3.6
Climate-Rainfall;W51 2020Sun 2020;17.3
Climate-Rainfall;W52 2020Sun 2020;0.0
Climate-Rainfall;W44 2022Sun 2022;0.0
Climate-Rainfall;W45 2022Sun 2022;0.0
Climate-Rainfall;W46 2022Sun 2022;275.9
Climate-Rainfall;W47 2022Sun 2022;339.5
Climate-Temperature avg;W10 2019Sun 2019;26.2
Climate-Rainfall;W48 2022Sun 2022;202.3
Climate-Rainfall;W49 2022Sun 2022;0.9
Climate-Temperature avg;W12 2019Sun 2019;27.0
Climate-Temperature avg;W11 2019Sun 2019;25.3
Climate-Temperature avg;W25 2019Sun 2019;28.4
Climate-Temperature avg;W24 2019Sun 2019;28.5
Climate-Temperature avg;W27 2019Sun 2019;26.2
Climate-Temperature avg;W26 2019Sun 2019;28.5
Climate-Temperature avg;W29 2019Sun 2019;28.6
Climate-Temperature avg;W28 2019Sun 2019;27.7
Climate-Rainfall;W30 2022Sun 2022;683.5
Climate-Rainfall;W31 2022Sun 2022;1820.9
Climate-Rainfall;W32 2022Sun 2022;2257.5
Climate-Rainfall;W33 2022Sun 2022;1416.5
Climate-Rainfall;W34 2022Sun 2022;1560.8
Climate-Rainfall;W35 2022Sun 2022;758.8
Climate-Rainfall;W36 2022Sun 2022;1324.9
Climate-Temperature avg;W21 2019Sun 2019;28.9
Climate-Rainfall;W9 2019Sun 2019;47.4
Climate-Rainfall;W37 2022Sun 2022;1165.3
Climate-Temperature avg;W20 2019Sun 2019;28.8
Climate-Rainfall;W8 2019Sun 2019;139.5
Climate-Rainfall;W38 2022Sun 2022;923.7
Climate-Temperature avg;W23 2019Sun 2019;28.1
Climate-Rainfall;W39 2022Sun 2022;1681.2
Climate-Temperature avg;W22 2019Sun 2019;27.5
Climate-Temperature avg;W33 2022Sun 2022;26.9
Climate-Temperature avg;W34 2022Sun 2022;26.7
Climate-Temperature avg;W31 2022Sun 2022;26.9
Climate-Temperature avg;W32 2022Sun 2022;25.9
Climate-Temperature avg;W30 2022Sun 2022;28.4
Climate-Rainfall;W39 2020Sun 2020;1054.9
Climate-Temperature avg;W39 2022Sun 2022;25.5
Climate-Temperature avg;W37 2022Sun 2022;26.5
Climate-Rainfall;W35 2020Sun 2020;719.0
Climate-Temperature avg;W38 2022Sun 2022;26.5
Climate-Rainfall;W36 2020Sun 2020;338.2
Climate-Temperature avg;W35 2022Sun 2022;27.7
Climate-Rainfall;W37 2020Sun 2020;1174.0
Climate-Temperature avg;W36 2022Sun 2022;26.7
Climate-Rainfall;W38 2020Sun 2020;1666.4
Climate-Rainfall;W31 2020Sun 2020;1384.9
Climate-Rainfall;W32 2020Sun 2020;2345.6
Climate-Rainfall;W33 2020Sun 2020;2153.3
Climate-Rainfall;W34 2020Sun 2020;1961.4
Climate-Rainfall;W30 2020Sun 2020;680.9
Climate-Temperature avg;W22 2022Sun 2022;27.2
Climate-Rainfall;W6 2020Sun 2020;0.8
Climate-Temperature avg;W23 2022Sun 2022;27.5
Climate-Rainfall;W7 2020Sun 2020;15.4
Climate-Temperature avg;W20 2022Sun 2022;26.1
Climate-Rainfall;W8 2020Sun 2020;0.0
Climate-Temperature avg;W21 2022Sun 2022;26.8
Climate-Rainfall;W9 2020Sun 2020;2.0
Climate-Temperature avg;W28 2022Sun 2022;27.3
Climate-Temperature avg;W29 2022Sun 2022;27.5
Climate-Rainfall;W1 2020Sun 2020;27.1
Climate-Temperature avg;W26 2022Sun 2022;27.4
Climate-Rainfall;W2 2020Sun 2020;0.0
Climate-Rainfall;W46 2020Sun 2020;17.4
Climate-Temperature avg;W27 2022Sun 2022;27.1
Climate-Rainfall;W3 2020Sun 2020;0.0
Climate-Rainfall;W47 2020Sun 2020;53.9
Climate-Temperature avg;W24 2022Sun 2022;27.4
Climate-Rainfall;W4 2020Sun 2020;5.6
Climate-Rainfall;W48 2020Sun 2020;12.9
Climate-Temperature avg;W25 2022Sun 2022;27.9
Climate-Rainfall;W49 2020Sun 2020;0.7
Climate-Rainfall;W5 2020Sun 2020;1.8
Climate-Temperature avg;W17 2020Sun 2020;28.1
Climate-Rainfall;W42 2020Sun 2020;604.6
Climate-Temperature avg;W18 2020Sun 2020;26.4
Climate-Rainfall;W43 2020Sun 2020;260.1
Climate-Temperature avg;W15 2020Sun 2020;27.1
Climate-Rainfall;W44 2020Sun 2020;405.9
Climate-Temperature avg;W16 2020Sun 2020;26.4
Climate-Rainfall;W45 2020Sun 2020;158.2
Climate-Temperature avg;W19 2020Sun 2020;30.6
Climate-Rainfall;W40 2020Sun 2020;545.5
Climate-Rainfall;W41 2020Sun 2020;587.5
Climate-Temperature avg;W10 2020Sun 2020;25.3
Climate-Temperature avg;W13 2020Sun 2020;27.3
Climate-Temperature avg;W14 2020Sun 2020;29.0
Climate-Temperature avg;W11 2020Sun 2020;27.4
Climate-Temperature avg;W12 2020Sun 2020;27.4
Climate-Temperature avg;W11 2022Sun 2022;26.9
Climate-Temperature avg;W12 2022Sun 2022;26.9
Climate-Temperature avg;W10 2022Sun 2022;27.6
Climate-Temperature avg;W19 2022Sun 2022;26.9
Climate-Temperature avg;W2 2022Sun 2022;22.6
Climate-Rainfall;W17 2020Sun 2020;1011.3
Climate-Temperature avg;W3 2022Sun 2022;21.1
Climate-Rainfall;W18 2020Sun 2020;521.5
Climate-Temperature avg;W17 2022Sun 2022;28.6
Climate-Temperature avg;W4 2022Sun 2022;22.7
Climate-Rainfall;W19 2020Sun 2020;291.6
Climate-Temperature avg;W18 2022Sun 2022;25.2
Climate-Temperature avg;W5 2022Sun 2022;21.8
Climate-Temperature avg;W15 2022Sun 2022;27.0
Climate-Rainfall;W13 2020Sun 2020;88.7
Climate-Temperature avg;W16 2022Sun 2022;26.0
Climate-Rainfall;W14 2020Sun 2020;148.8
Climate-Temperature avg;W13 2022Sun 2022;24.9
Climate-Rainfall;W15 2020Sun 2020;256.5
Climate-Temperature avg;W1 2022Sun 2022;21.9
Climate-Temperature avg;W14 2022Sun 2022;23.7
Climate-Rainfall;W16 2020Sun 2020;473.6
Climate-Temperature avg;W28 2020Sun 2020;28.2
Climate-Temperature avg;W29 2020Sun 2020;27.8
Climate-Rainfall;W10 2020Sun 2020;408.5
Climate-Temperature avg;W26 2020Sun 2020;28.4
Climate-Rainfall;W11 2020Sun 2020;7.8
Climate-Temperature avg;W27 2020Sun 2020;27.4
Climate-Rainfall;W12 2020Sun 2020;64.3
Climate-Temperature avg;W6 2022Sun 2022;23.7
Climate-Temperature avg;W7 2022Sun 2022;24.1
Climate-Temperature avg;W8 2022Sun 2022;20.3
Climate-Temperature avg;W9 2022Sun 2022;25.0
Climate-Temperature avg;W20 2020Sun 2020;29.6
Climate-Temperature avg;W21 2020Sun 2020;29.4
Climate-Temperature avg;W24 2020Sun 2020;28.7
Climate-Temperature avg;W25 2020Sun 2020;26.9
Climate-Temperature avg;W22 2020Sun 2020;28.1
Climate-Temperature avg;W23 2020Sun 2020;27.8
Climate-Rainfall;W28 2020Sun 2020;565.2
Climate-Rainfall;W29 2020Sun 2020;608.2
Climate-Rainfall;W24 2020Sun 2020;532.4
Climate-Rainfall;W25 2020Sun 2020;1167.0
Climate-Rainfall;W26 2020Sun 2020;556.0
Climate-Rainfall;W27 2020Sun 2020;1404.1
Climate-Temperature avg;W39 2020Sun 2020;26.7
Climate-Rainfall;W20 2020Sun 2020;457.9
Climate-Rainfall;W21 2020Sun 2020;689.3
Climate-Temperature avg;W37 2020Sun 2020;27.3
Climate-Rainfall;W22 2020Sun 2020;1214.2
Climate-Temperature avg;W38 2020Sun 2020;27.1
Climate-Rainfall;W23 2020Sun 2020;682.1
Climate-Rainfall;W7 2021Sun 2021;2.1
Climate-Rainfall;W8 2021Sun 2021;5.7
Climate-Rainfall;W9 2021Sun 2021;109.0
Climate-Temperature avg;W31 2020Sun 2020;27.7
Climate-Rainfall;W3 2021Sun 2021;1.3
Climate-Temperature avg;W32 2020Sun 2020;26.6
Climate-Rainfall;W4 2021Sun 2021;7.2
Climate-Rainfall;W5 2021Sun 2021;8.8
Climate-Temperature avg;W30 2020Sun 2020;27.9
Climate-Rainfall;W6 2021Sun 2021;640.3
Climate-Temperature avg;W35 2020Sun 2020;27.4
Climate-Temperature avg;W36 2020Sun 2020;27.9
Climate-Temperature avg;W33 2020Sun 2020;26.6
Climate-Rainfall;W1 2021Sun 2021;5.7
Climate-Temperature avg;W34 2020Sun 2020;25.7
Climate-Rainfall;W2 2021Sun 2021;11.7
Climate-Temperature avg;W6 2020Sun 2020;23.4
Climate-Temperature avg;W7 2020Sun 2020;24.2
Climate-Temperature avg;W4 2020Sun 2020;23.8
Climate-Temperature avg;W5 2020Sun 2020;20.2
Climate-Temperature avg;W8 2020Sun 2020;22.4
Climate-Temperature avg;W9 2020Sun 2020;23.9
Climate-Temperature avg;W2 2020Sun 2020;23.7
Climate-Temperature avg;W3 2020Sun 2020;23.3
Climate-Temperature avg;W1 2020Sun 2020;22.6
Climate-Temperature avg;W20 2021Sun 2021;29.6
Climate-Temperature avg;W21 2021Sun 2021;28.2
Climate-Temperature avg;W22 2021Sun 2021;29.2
Climate-Temperature avg;W23 2021Sun 2021;26.6
Climate-Temperature avg;W24 2021Sun 2021;27.0
Climate-Temperature avg;W25 2021Sun 2021;28.1
Climate-Rainfall;W50 2021Sun 2021;0.4
Climate-Temperature avg;W26 2021Sun 2021;27.7
Climate-Rainfall;W51 2021Sun 2021;59.0
Climate-Temperature avg;W27 2021Sun 2021;27.3
Climate-Temperature avg;W28 2021Sun 2021;27.6
Climate-Temperature avg;W29 2021Sun 2021;26.4
Climate-Rainfall;W52 2021Sun 2021;17.3
Climate-Temperature avg;W4 2021Sun 2021;22.4
Climate-Temperature avg;W3 2021Sun 2021;19.9
Climate-Temperature avg;W2 2021Sun 2021;17.3
Climate-Temperature avg;W30 2021Sun 2021;27.0
Climate-Temperature avg;W1 2021Sun 2021;19.9
Climate-Temperature avg;W31 2021Sun 2021;27.6
Climate-Temperature avg;W32 2021Sun 2021;27.2
Climate-Temperature avg;W33 2021Sun 2021;27.0
Climate-Temperature avg;W34 2021Sun 2021;27.3
Climate-Temperature avg;W35 2021Sun 2021;27.0
Climate-Temperature avg;W36 2021Sun 2021;26.5
Climate-Temperature avg;W37 2021Sun 2021;26.5
Climate-Temperature avg;W38 2021Sun 2021;26.4
Climate-Temperature avg;W39 2021Sun 2021;27.1
Climate-Temperature avg;W9 2021Sun 2021;25.5
Climate-Temperature avg;W8 2021Sun 2021;24.6
Climate-Temperature avg;W7 2021Sun 2021;22.4
Climate-Temperature avg;W6 2021Sun 2021;21.2
Climate-Temperature avg;W5 2021Sun 2021;22.6
Climate-Temperature avg;W40 2021Sun 2021;26.7
Climate-Temperature avg;W41 2021Sun 2021;24.9
Climate-Temperature avg;W42 2021Sun 2021;25.0
Climate-Temperature avg;W43 2021Sun 2021;24.3
Climate-Temperature avg;W44 2021Sun 2021;25.9
Climate-Temperature avg;W45 2021Sun 2021;23.8
Climate-Temperature avg;W46 2021Sun 2021;24.7
Climate-Temperature avg;W47 2021Sun 2021;22.9
Climate-Temperature avg;W48 2021Sun 2021;20.3
Climate-Temperature avg;W49 2021Sun 2021;19.8
Climate-Rainfall;W32 2021Sun 2021;1705.7
Climate-Rainfall;W33 2021Sun 2021;888.4
Climate-Rainfall;W30 2021Sun 2021;1165.4
Climate-Rainfall;W31 2021Sun 2021;825.3
Climate-Rainfall;W36 2021Sun 2021;1243.4
Climate-Rainfall;W1 2022Sun 2022;0.5
Climate-Rainfall;W37 2021Sun 2021;778.5
Climate-Rainfall;W34 2021Sun 2021;1334.4
Climate-Rainfall;W3 2022Sun 2022;472.0
Climate-Rainfall;W35 2021Sun 2021;1354.1
Climate-Rainfall;W2 2022Sun 2022;82.6
Climate-Rainfall;W5 2022Sun 2022;192.1
Climate-Rainfall;W4 2022Sun 2022;16.0
Climate-Rainfall;W38 2021Sun 2021;874.1
Climate-Rainfall;W7 2022Sun 2022;875.3
Climate-Rainfall;W39 2021Sun 2021;557.5
Climate-Rainfall;W6 2022Sun 2022;67.1
Climate-Rainfall;W9 2022Sun 2022;6.0
Climate-Rainfall;W8 2022Sun 2022;521.8
Climate-Temperature avg;W50 2021Sun 2021;21.4
Climate-Temperature avg;W51 2021Sun 2021;20.5
Climate-Temperature avg;W52 2021Sun 2021;21.7
Climate-Rainfall;W40 2021Sun 2021;587.9
Climate-Rainfall;W43 2021Sun 2021;171.3
Climate-Rainfall;W44 2021Sun 2021;375.6
Climate-Rainfall;W41 2021Sun 2021;1047.3
Climate-Rainfall;W42 2021Sun 2021;690.6
Climate-Rainfall;W47 2021Sun 2021;114.4
Climate-Rainfall;W48 2021Sun 2021;0.4
Climate-Rainfall;W45 2021Sun 2021;36.8
Climate-Rainfall;W46 2021Sun 2021;41.9
Climate-Rainfall;W49 2021Sun 2021;0.2
Climate-Rainfall;W10 2021Sun 2021;64.2
Climate-Rainfall;W11 2021Sun 2021;85.2
Climate-Rainfall;W14 2021Sun 2021;672.1
Climate-Rainfall;W15 2021Sun 2021;418.7
Climate-Rainfall;W12 2021Sun 2021;79.6
Climate-Rainfall;W13 2021Sun 2021;196.9
Climate-Rainfall;W18 2021Sun 2021;315.7
Climate-Rainfall;W19 2021Sun 2021;258.9
Climate-Rainfall;W16 2021Sun 2021;316.0
Climate-Rainfall;W17 2021Sun 2021;1381.8
Climate-Rainfall;W21 2021Sun 2021;1495.0
Climate-Rainfall;W22 2021Sun 2021;665.1
Climate-Rainfall;W20 2021Sun 2021;196.2
Climate-Rainfall;W25 2021Sun 2021;523.8
Climate-Rainfall;W26 2021Sun 2021;902.0
Climate-Rainfall;W23 2021Sun 2021;2432.7
Climate-Rainfall;W24 2021Sun 2021;1358.9
Climate-Rainfall;W29 2021Sun 2021;2700.3
Climate-Rainfall;W27 2021Sun 2021;1499.1
Climate-Rainfall;W28 2021Sun 2021;895.3
Climate-Temperature avg;W10 2021Sun 2021;25.4
Climate-Temperature avg;W11 2021Sun 2021;27.3
Climate-Temperature avg;W12 2021Sun 2021;26.3
Climate-Temperature avg;W13 2021Sun 2021;28.5
Climate-Temperature avg;W14 2021Sun 2021;26.3
Climate-Temperature avg;W15 2021Sun 2021;27.8
Climate-Temperature avg;W16 2021Sun 2021;27.9
Climate-Temperature avg;W17 2021Sun 2021;27.0
Climate-Temperature avg;W18 2021Sun 2021;28.0
Climate-Temperature avg;W19 2021Sun 2021;28.6
Climate-Temperature avg;W1 2019Sun 2019;20.0
Climate-Temperature avg;W2 2019Sun 2019;23.4
Climate-Temperature avg;W3 2019Sun 2019;22.4
Climate-Temperature avg;W4 2019Sun 2019;21.6
Climate-Temperature avg;W5 2019Sun 2019;21.9
Climate-Temperature avg;W6 2019Sun 2019;24.1
Climate-Temperature avg;W7 2019Sun 2019;24.7
Climate-Temperature avg;W8 2019Sun 2019;24.8
Climate-Temperature avg;W9 2019Sun 2019;25.7
Climate-Temperature avg;W51 2022Sun 2022;19.6
Climate-Temperature avg;W52 2022Sun 2022;20.0
Climate-Temperature avg;W50 2022Sun 2022;20.9
Climate-Temperature avg;W44 2022Sun 2022;23.1
Climate-Temperature avg;W45 2022Sun 2022;24.0
Climate-Temperature avg;W42 2022Sun 2022;23.7
Climate-Temperature avg;W43 2022Sun 2022;25.5
Climate-Temperature avg;W40 2022Sun 2022;26.5
Climate-Rainfall;W10 2019Sun 2019;64.1
Climate-Temperature avg;W41 2022Sun 2022;24.4
Climate-Rainfall;W14 2019Sun 2019;262.4
Climate-Rainfall;W13 2019Sun 2019;151.0
Climate-Rainfall;W12 2019Sun 2019;154.3
Climate-Rainfall;W11 2019Sun 2019;8.0
Climate-Temperature avg;W48 2022Sun 2022;25.8
Climate-Rainfall;W18 2019Sun 2019;303.4
Climate-Temperature avg;W49 2022Sun 2022;23.9
Climate-Rainfall;W17 2019Sun 2019;315.8
Climate-Temperature avg;W46 2022Sun 2022;26.1
Climate-Rainfall;W16 2019Sun 2019;196.2
Climate-Temperature avg;W47 2022Sun 2022;25.6
Climate-Rainfall;W15 2019Sun 2019;56.5
Climate-Rainfall;W21 2019Sun 2019;524.1
Climate-Rainfall;W20 2019Sun 2019;319.1
Climate-Rainfall;W25 2019Sun 2019;629.3
Climate-Rainfall;W24 2019Sun 2019;515.4
Climate-Rainfall;W23 2019Sun 2019;594.1
Climate-Rainfall;W22 2019Sun 2019;1160.8
Climate-Rainfall;W29 2019Sun 2019;320.3
Climate-Rainfall;W28 2019Sun 2019;280.1
Climate-Rainfall;W27 2019Sun 2019;1844.2
Climate-Rainfall;W26 2019Sun 2019;611.6
Climate-Rainfall;W19 2019Sun 2019;715.6
Climate-Rainfall;W50 2022Sun 2022;0.0
Climate-Rainfall;W32 2019Sun 2019;1305.9
Climate-Rainfall;W51 2022Sun 2022;0.3
Climate-Rainfall;W31 2019Sun 2019;2295.2
Climate-Rainfall;W52 2022Sun 2022;88.8
Climate-Rainfall;W30 2019Sun 2019;1330.5
Climate-Rainfall;W36 2019Sun 2019;2564.8
Climate-Rainfall;W35 2019Sun 2019;2164.9
Climate-Rainfall;W34 2019Sun 2019;1841.4
Climate-Rainfall;W33 2019Sun 2019;1961.6
Climate-Rainfall;W39 2019Sun 2019;37.0
Climate-Rainfall;W38 2019Sun 2019;502.8
Climate-Rainfall;W37 2019Sun 2019;868.4
Climate-Rainfall;W43 2019Sun 2019;54.2
Climate-Rainfall;W42 2019Sun 2019;151.2
Climate-Rainfall;W41 2019Sun 2019;280.6
Climate-Rainfall;W40 2019Sun 2019;319.0
Climate-Rainfall;W47 2019Sun 2019;4.0
Climate-Rainfall;W46 2019Sun 2019;55.9
Climate-Rainfall;W45 2019Sun 2019;59.6
Climate-Rainfall;W44 2019Sun 2019;148.7
Climate-Rainfall;W49 2019Sun 2019;0.6
Climate-Rainfall;W48 2019Sun 2019;1.7
Climate-Temperature avg;W50 2019Sun 2019;17.5
Climate-Temperature avg;W52 2019Sun 2019;22.3
Climate-Temperature avg;W51 2019Sun 2019;22.7
Climate-Rainfall;W50 2019Sun 2019;0.0
Climate-Rainfall;W52 2019Sun 2019;103.0
Climate-Rainfall;W51 2019Sun 2019;0.06
Dengue cases (any);W1 2019Sun 2019;109.0
Dengue cases (any);W10 2019Sun 2019;142.0
Dengue cases (any);W11 2019Sun 2019;96.0
Dengue cases (any);W12 2019Sun 2019;78.0
Dengue cases (any);W13 2019Sun 2019;79.0
Dengue cases (any);W14 2019Sun 2019;125.0
Dengue cases (any);W15 2019Sun 2019;214.0
Dengue cases (any);W16 2019Sun 2019;116.0
Dengue cases (any);W17 2019Sun 2019;220.0
Dengue cases (any);W18 2019Sun 2019;260.0
Dengue cases (any);W19 2019Sun 2019;354.0
Dengue cases (any);W2 2019Sun 2019;124.0
Dengue cases (any);W20 2019Sun 2019;352.0
Dengue cases (any);W21 2019Sun 2019;412.0
Dengue cases (any);W22 2019Sun 2019;553.0
Dengue cases (any);W23 2019Sun 2019;780.0
Dengue cases (any);W24 2019Sun 2019;910.0
Dengue cases (any);W25 2019Sun 2019;1167.0
Dengue cases (any);W26 2019Sun 2019;1455.0
Dengue cases (any);W27 2019Sun 2019;1496.0
Dengue cases (any);W28 2019Sun 2019;1826.0
Dengue cases (any);W29 2019Sun 2019;2033.0
Dengue cases (any);W3 2019Sun 2019;105.0
Dengue cases (any);W30 2019Sun 2019;1997.0
Dengue cases (any);W31 2019Sun 2019;1975.0
Dengue cases (any);W32 2019Sun 2019;1888.0
Dengue cases (any);W33 2019Sun 2019;1522.0
Dengue cases (any);W34 2019Sun 2019;1616.0
Dengue cases (any);W35 2019Sun 2019;1172.0
Dengue cases (any);W36 2019Sun 2019;1082.0
Dengue cases (any);W37 2019Sun 2019;1078.0
Dengue cases (any);W38 2019Sun 2019;1211.0
Dengue cases (any);W39 2019Sun 2019;968.0
Dengue cases (any);W4 2019Sun 2019;124.0
Dengue cases (any);W40 2019Sun 2019;794.0
Dengue cases (any);W41 2019Sun 2019;562.0
Dengue cases (any);W42 2019Sun 2019;529.0
Dengue cases (any);W43 2019Sun 2019;500.0
Dengue cases (any);W44 2019Sun 2019;423.0
Dengue cases (any);W45 2019Sun 2019;345.0
Dengue cases (any);W46 2019Sun 2019;246.0
Dengue cases (any);W47 2019Sun 2019;183.0
Dengue cases (any);W48 2019Sun 2019;161.0
Dengue cases (any);W49 2019Sun 2019;144.0
Dengue cases (any);W5 2019Sun 2019;116.0
Dengue cases (any);W50 2019Sun 2019;128.0
Dengue cases (any);W51 2019Sun 2019;43.0
Dengue cases (any);W52 2019Sun 2019;51.0
Dengue cases (any);W6 2019Sun 2019;160.0
Dengue cases (any);W7 2019Sun 2019;86.0
Dengue cases (any);W8 2019Sun 2019;113.0
Dengue cases (any);W9 2019Sun 2019;105.0
Dengue cases (any);W1 2020Sun 2020;54.0
Dengue cases (any);W10 2020Sun 2020;67.0
Dengue cases (any);W11 2020Sun 2020;47.0
Dengue cases (any);W12 2020Sun 2020;56.0
Dengue cases (any);W13 2020Sun 2020;61.0
Dengue cases (any);W14 2020Sun 2020;29.0
Dengue cases (any);W15 2020Sun 2020;34.0
Dengue cases (any);W16 2020Sun 2020;34.0
Dengue cases (any);W17 2020Sun 2020;59.0
Dengue cases (any);W18 2020Sun 2020;73.0
Dengue cases (any);W19 2020Sun 2020;120.0
Dengue cases (any);W2 2020Sun 2020;71.0
Dengue cases (any);W20 2020Sun 2020;116.0
Dengue cases (any);W21 2020Sun 2020;130.0
Dengue cases (any);W22 2020Sun 2020;133.0
Dengue cases (any);W23 2020Sun 2020;147.0
Dengue cases (any);W24 2020Sun 2020;146.0
Dengue cases (any);W25 2020Sun 2020;216.0
Dengue cases (any);W26 2020Sun 2020;249.0
Dengue cases (any);W27 2020Sun 2020;264.0
Dengue cases (any);W28 2020Sun 2020;399.0
Dengue cases (any);W29 2020Sun 2020;438.0
Dengue cases (any);W3 2020Sun 2020;67.0
Dengue cases (any);W30 2020Sun 2020;416.0
Dengue cases (any);W31 2020Sun 2020;455.0
Dengue cases (any);W32 2020Sun 2020;432.0
Dengue cases (any);W33 2020Sun 2020;419.0
Dengue cases (any);W34 2020Sun 2020;366.0
Dengue cases (any);W35 2020Sun 2020;264.0
Dengue cases (any);W36 2020Sun 2020;278.0
Dengue cases (any);W37 2020Sun 2020;243.0
Dengue cases (any);W38 2020Sun 2020;336.0
Dengue cases (any);W39 2020Sun 2020;283.0
Dengue cases (any);W4 2020Sun 2020;81.0
Dengue cases (any);W40 2020Sun 2020;208.0
Dengue cases (any);W41 2020Sun 2020;204.0
Dengue cases (any);W42 2020Sun 2020;184.0
Dengue cases (any);W43 2020Sun 2020;149.0
Dengue cases (any);W44 2020Sun 2020;110.0
Dengue cases (any);W45 2020Sun 2020;108.0
Dengue cases (any);W46 2020Sun 2020;94.0
Dengue cases (any);W47 2020Sun 2020;83.0
Dengue cases (any);W48 2020Sun 2020;97.0
Dengue cases (any);W49 2020Sun 2020;69.0
Dengue cases (any);W5 2020Sun 2020;74.0
Dengue cases (any);W50 2020Sun 2020;55.0
Dengue cases (any);W51 2020Sun 2020;33.0
Dengue cases (any);W52 2020Sun 2020;27.0
Dengue cases (any);W53 2020Sun 2020;29.0
Dengue cases (any);W6 2020Sun 2020;49.0
Dengue cases (any);W7 2020Sun 2020;27.0
Dengue cases (any);W8 2020Sun 2020;38.0
Dengue cases (any);W9 2020Sun 2020;37.0
Dengue cases (any);W1 2021Sun 2021;20.0
Dengue cases (any);W10 2021Sun 2021;7.0
Dengue cases (any);W11 2021Sun 2021;10.0
Dengue cases (any);W12 2021Sun 2021;9.0
Dengue cases (any);W13 2021Sun 2021;14.0
Dengue cases (any);W14 2021Sun 2021;25.0
Dengue cases (any);W15 2021Sun 2021;6.0
Dengue cases (any);W16 2021Sun 2021;15.0
